fecha,departamento,municipio,precipitacion_mm,demanda_municipio_est_gwh,demanda_predicha_gwh,error_absoluto
2026-01-12,La Guajira,Maicao,0.0,0.010515,0.008159550488202523,0.0023554495117974767
2026-01-12,La Guajira,Riohacha,0.0,0.635272,0.3514022759808056,0.28386972401919436
2026-01-12,La Guajira,San Juan del Cesar,0.0,0.0,0.010832382237350892,0.010832382237350892
2026-01-12,La Guajira,Uribia,0.0,0.002683,0.07127782493697991,0.06859482493697991
2026-01-12,Magdalena,Magdalena,0.0,0.0,0.008159550488202523,0.008159550488202523
2026-01-12,Magdalena,Ciénaga,0.0,0.0,0.0,0.0
2026-01-12,Magdalena,El Banco,0.0,0.00295,0.0012351607043836275,0.0017148392956163724
2026-01-12,Magdalena,Fundación,0.0,0.0,0.0012351607043836275,0.0012351607043836275
2026-01-12,Magdalena,Santa Marta,0.0,0.51448,0.4939786154358726,0.020501384564127423
2026-01-12,Meta,Meta,0.0,0.0,0.0,0.0
2026-01-12,Meta,Acacías,29.7,0.0,0.0,0.0
2026-01-12,Meta,Granada,29.7,0.031637,0.01711641120954842,0.01452058879045158
2026-01-12,Meta,Puerto López,29.7,0.0,0.0005467116082744075,0.0005467116082744075
2026-01-12,Meta,Villavicencio,29.7,6.555636,4.289108702061208,2.266527297938792
2026-01-12,Nariño,Nariño,0.0,0.0,0.0022404998815974556,0.0022404998815974556
2026-01-12,Nariño,Ipiales,1.7,0.012729,0.01366816094568341,0.0009391609456834097
2026-01-12,Nariño,Pasto,1.7,0.089387,0.08723717066758774,0.0021498293324122564
2026-01-12,Nariño,Tumaco,1.7,0.029401,0.016122351575244682,0.013278648424755318
2026-01-12,Nariño,Tuquerres,1.7,0.003394,0.016122351575244682,0.012728351575244682
2026-01-12,Norte de Santander,Norte de Santander,0.0,0.0,0.0004026142013689178,0.0004026142013689178
2026-01-12,Norte de Santander,Cucutá,8.066666666666666,0.0,0.0,0.0
2026-01-12,Norte de Santander,Ocaña,8.066666666666666,0.0,0.0004026142013689178,0.0004026142013689178
2026-01-12,Norte de Santander,Pamplona,8.066666666666666,0.001839,0.0004026142013689178,0.0014363857986310821
